Accession,Release_Date,Species,Genus,Family,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
NC_045512,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29903,RefSeq,complete,,,"Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.","15680415, 15630477, 10482585",China,Homo sapiens,,2019-12,,"Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome"
MT422806,2020-05-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29903,GenBank,complete,,,"Elbadry,M.A., Subramaniam,K., Waltzek,T.B., Gibson,J.C., Stephenson,C.J., Alam,M.M., Morris,J.G. Jr., Lednicky,J.A.",,USA: FL,Homo sapiens,,2020-03-27,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UF-4/2020, complete genome"
MT422807,2020-05-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29903,GenBank,complete,,,"Elbadry,M.A., Subramaniam,K., Waltzek,T.B., Gibson,J.C., Stephenson,C.J., Alam,M.M., Morris,J.G. Jr., Lednicky,J.A.",,USA: FL,Homo sapiens,,2020-03-27,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UF-5/2020, complete genome"
MT425183,2020-05-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,307,GenBank,partial,,,"Leutenegger,C.M., Lozoya,C.E., Tereski,J.L., Wyler,D., Moroff,S.",,USA,Felis catus,,2020-04-01,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/feline/USA/NYAD1/2020 ORF7a protein (ORF7a) gene, partial cds; ORF7b (ORF7b) gene, complete cds; and ORF8 protein (ORF8) gene, partial cds"
MT425184,2020-05-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,307,GenBank,partial,,,"Leutenegger,C.M., Lozoya,C.E., Tereski,J.L., Wyler,D., Moroff,S.",,USA,Felis catus,,2020-04-06,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/feline/USA/NYAD2/2020 ORF7a protein (ORF7a) gene, partial cds; ORF7b (ORF7b) gene, complete cds; and ORF8 protein (ORF8) gene, partial cds"
MT215193,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,27871,GenBank,partial,,,"Sit,T.H.S., Brackman,C.J., Sims,L.D., Tsang,D.N.C., Chu,D.K.W., Perera,R.A.P.M., Poon,L.L.M., Peiris,M.",,Hong Kong,Canis lupus familiaris,,2020-02-26,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/canine/HKG/20-02756/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT215194,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29764,GenBank,complete,,,"Sit,T.H.S., Brackman,C.J., Sims,L.D., Tsang,D.N.C., Chu,D.K.W., Perera,R.A.P.M., Poon,L.L.M., Peiris,M.",,Hong Kong,Homo sapiens,,2020-02-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG.85_VM20002868/2020, complete genome"
MT215195,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29764,GenBank,complete,,,"Sit,T.H.S., Brackman,C.J., Sims,L.D., Tsang,D.N.C., Chu,D.K.W., Perera,R.A.P.M., Poon,L.L.M., Peiris,M.",,Hong Kong,Homo sapiens,,2020-02-25,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/90_VM20002907/2020, complete genome"
MT270814,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29764,GenBank,complete,,,"Sit,T.H.S., Brackman,C.J., Sims,L.D., Tsang,D.N.C., Chu,D.K.W., Perera,R.A.P.M., Poon,L.L.M., Peiris,M.",,Hong Kong,Canis lupus familiaris,,2020-03-18,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/canine/HKG/20-03695/2020, complete genome"
MT270815,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29764,GenBank,complete,,,"Sit,T.H.S., Brackman,C.J., Sims,L.D., Tsang,D.N.C., Chu,D.K.W., Perera,R.A.P.M., Poon,L.L.M., Peiris,M.",,Hong Kong,Homo sapiens,,2020-03-16,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/case163_VM20009579/2020, complete genome"
